[2025-08-04 17:32 → 17:33] WPM: 6.83 | CPS: 0.57 | Chars: 23 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 17:41 → 17:41] WPM: 25.12 | CPS: 2.09 | Chars: 95 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 17:43 → 17:52] WPM: 6.59 | CPS: 0.55 | Chars: 298 | Backs: 8 | Mistakes: 2.68%
[2025-08-04 17:53 → 17:58] WPM: 4.46 | CPS: 0.37 | Chars: 127 | Backs: 7 | Mistakes: 5.51%
[2025-08-04 17:59 → 18:05] WPM: 16.38 | CPS: 1.37 | Chars: 519 | Backs: 6 | Mistakes: 1.16%
[2025-08-04 18:06 → 18:06] WPM: 2.31 | CPS: 0.19 | Chars: 1 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 18:06 → 18:07] WPM: 1.18 | CPS: 0.10 | Chars: 2 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 18:07 → 18:12] WPM: 12.13 | CPS: 1.01 | Chars: 310 | Backs: 8 | Mistakes: 2.58%
[2025-08-04 18:13 → 18:15] WPM: 12.24 | CPS: 1.02 | Chars: 149 | Backs: 5 | Mistakes: 3.36%
[2025-08-04 18:16 → 18:17] WPM: 1.36 | CPS: 0.11 | Chars: 6 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 18:26 → 18:30] WPM: 6.76 | CPS: 0.56 | Chars: 129 | Backs: 10 | Mistakes: 7.75%
[2025-08-04 18:30 → 18:31] WPM: 2.38 | CPS: 0.20 | Chars: 4 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 18:31 → 18:35] WPM: 1.19 | CPS: 0.10 | Chars: 21 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 18:37 → 18:37] WPM: 10.66 | CPS: 0.89 | Chars: 24 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 19:13 → 19:14] WPM: 3.63 | CPS: 0.30 | Chars: 17 | Backs: 27 | Mistakes: 158.82%
[2025-08-04 19:37 → 19:38] WPM: 29.46 | CPS: 2.45 | Chars: 128 | Backs: 0 | Mistakes: 0.00%
[2025-08-04 20:03 → 20:07] WPM: 15.66 | CPS: 1.31 | Chars: 310 | Backs: 7 | Mistakes: 2.26%
[2025-08-04 20:12 → 20:13] WPM: 10.83 | CPS: 0.90 | Chars: 77 | Backs: 73 | Misspelled: 1 | Mistakes: 94.81%
[2025-08-04 20:14 → 20:15] WPM: 13.82 | CPS: 1.15 | Chars: 60 | Backs: 0 | Misspelled: 0 | Mistakes: 0.00%
[2025-08-04 20:22 → 20:23] WPM: 7.91 | CPS: 0.66 | Chars: 35 | Backs: 2 | Misspelled: 2 | Mistakes: 5.71%
[2025-08-04 20:23 → 20:24] WPM: 9.83 | CPS: 0.82 | Chars: 54 | Backs: 1 | Misspelled: 3 | Mistakes: 1.85%
[2025-08-04 20:29 → 20:29] WPM: 6.39 | CPS: 0.53 | Chars: 5 | Backs: 2 | Misspelled: 0 | Mistakes: 40.00%
[2025-08-04 20:29 → 20:30] WPM: 14.08 | CPS: 1.17 | Chars: 92 | Backs: 1 | Misspelled: 6 | Mistakes: 1.09%
[2025-08-04 20:32 → 20:32] WPM: 28.13 | CPS: 2.34 | Chars: 50 | Backs: 0 | Misspelled: 1 | Mistakes: 0.00%
[2025-08-04 21:09 → 21:09] WPM: 4.19 | CPS: 0.35 | Chars: 5 | Backs: 1 | Misspelled: 0 | Mistakes: 10.00%
[2025-08-04 21:09 → 21:09] WPM: 4.27 | CPS: 0.36 | Chars: 4 | Backs: 2 | Misspelled: 0 | Mistakes: 25.00%
[2025-08-04 21:10 → 21:13] WPM: 15.21 | CPS: 1.27 | Chars: 268 | Backs: 5 | Misspelled: 12 | Mistakes: 7.65%
[2025-08-04 21:17 → 21:22] WPM: 12.23 | CPS: 1.02 | Chars: 295 | Backs: 9 | Misspelled: 6 | Mistakes: 4.58%
[2025-08-04 21:31 → 21:32] WPM: 23.06 | CPS: 1.92 | Chars: 40 | Backs: 0 | Misspelled: 1 | Mistakes: 3.75%
[2025-08-04 21:33 → 21:33] WPM: 10.87 | CPS: 0.91 | Chars: 28 | Backs: 1 | Misspelled: 0 | Mistakes: 1.79%
[2025-08-04 21:33 → 21:34] WPM: 21.83 | CPS: 1.82 | Chars: 51 | Backs: 5 | Misspelled: 1 | Mistakes: 7.84%
